symbol,date,closure,opening,variation
BIAT,2022-05-24,68.3,68.3,0.15
BIAT,2022-05-23,68.2,68.2,-0.44
BIAT,2022-05-20,68.5,68.5,0.44
BIAT,2022-05-19,68.2,68.2,-0.73
BIAT,2022-05-18,68.7,68.7,2.84
BIAT,2022-05-17,66.8,66.8,0.30
BIAT,2022-05-16,66.6,66.6,0.15
BIAT,2022-05-13,66.5,66.5,0.45
BIAT,2022-05-12,66.2,66.2,0.30
BIAT,2022-05-11,66.0,66.0,1.30
BIAT,2022-05-10,65.1,65.1,0.85
BIAT,2022-05-09,64.6,64.6,-7.32
BIAT,2022-05-06,69.7,69.7,0.00
BIAT,2022-05-05,69.7,69.7,0.29
BIAT,2022-05-04,69.5,69.5,0.29
BIAT,2022-04-29,69.3,69.3,0.01
BIAT,2022-04-28,69.2,69.2,-0.03
BIAT,2022-04-27,69.3,69.3,0.22
BIAT,2022-04-26,69.1,69.1,0.16
BIAT,2022-04-25,69.0,69.0,-0.07
BIAT,2022-04-22,69.1,69.1,-0.29
BIAT,2022-04-21,69.3,69.3,0.43
BIAT,2022-04-20,69.0,69.0,0.15
BIAT,2022-04-19,68.9,68.9,-0.29
BIAT,2022-04-18,69.1,69.1,0.14
BIAT,2022-04-15,69.0,69.0,0.15
BIAT,2022-04-14,68.9,68.9,-0.07
BIAT,2022-04-13,68.9,68.9,1.40
BIAT,2022-04-12,68.0,68.0,0.97
BIAT,2022-04-11,67.3,67.3,1.43
BIAT,2022-04-08,66.4,66.4,-0.30
BIAT,2022-04-07,66.6,66.6,2.60
BIAT,2022-04-06,64.9,64.9,0.17
BIAT,2022-04-05,64.8,64.8,0.86
BIAT,2022-04-04,64.2,64.2,0.23
BIAT,2022-04-01,64.1,64.1,-1.08
BIAT,2022-03-31,64.8,64.8,0.06
BIAT,2022-03-30,64.7,64.7,0.06
BIAT,2022-03-29,64.7,64.7,-2.53
BIAT,2022-03-28,66.4,66.4,-0.75
BIAT,2022-03-25,66.9,66.9,0.00
BIAT,2022-03-24,66.9,66.9,0.15
BIAT,2022-03-23,66.8,66.8,-0.15
BIAT,2022-03-22,66.9,66.9,-0.30
BIAT,2022-03-21,67.1,67.1,0.15
BIAT,2022-03-18,67.0,67.0,-1.18
BIAT,2022-03-17,67.8,67.8,0.00
BIAT,2022-03-16,67.8,67.8,0.00
BIAT,2022-03-15,67.8,67.8,-0.29
BIAT,2022-03-14,68.0,68.0,0.74
BIAT,2022-03-11,67.5,67.5,0.75
BIAT,2022-03-10,67.0,67.0,0.00
BIAT,2022-03-09,67.0,67.0,0.00
BIAT,2022-03-08,67.0,67.0,-0.74
BIAT,2022-03-07,67.5,67.5,-0.74
BIAT,2022-03-04,68.0,68.0,0.29
BIAT,2022-03-03,67.8,67.8,2.73
BIAT,2022-03-02,66.0,66.0,3.13
BIAT,2022-03-01,64.0,64.0,0.00
BIAT,2022-02-28,64.0,64.0,0.00
BIAT,2022-02-25,64.0,64.0,0.02
BIAT,2022-02-24,63.9,63.9,-0.02
